GEO_DISTRICT,GEO_REGION,MMDA,Region,Latitude,Longitude,Employed_Pop,Unemployed_Pop,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiterate_Pop,Uninsured_Pop,Male_0_14,Female_0_14,Male_15_64,Female_15_64,Male_65plus,Female_65plus,Total_Pop,Uninsurance_Rate_pct,Illiteracy_Rate_pct,Youth_Dep_Ratio,Employment_Rate_pct,Has_Geometry,NHIS_Coverage_Women_2019_pct,No_Insurance_Women_2022_pct,ANC_Skilled_pct,Home_Delivery_pct,Facility_Delivery_pct,Female_Literate_pct,Female_No_Edu_pct,Female_SecPlus_pct,High_Uninsurance,Catastrophic_Proxy,Ecological_Zone,Uninsurance_Quartile,Uninsurance_z,Spatial_Lag_Uninsurance,LISA_Ii,LISA_p,LISA_cluster,BV_Poverty_Ii,BV_Poverty_p,BV_Poverty_cluster,BV_Illiteracy_Ii,BV_Illiteracy_p,BV_Illiteracy_cluster,Gistar_z,Gistar_cluster,GWR_local_R2,GWR_beta_intercept,GWR_beta_Poverty_Incidence,GWR_beta_Illiteracy_Rate,GWR_beta_NHIS_Coverage_Women_2019
SUNYANI WEST,BONO,Sunyani West Municipal,Bono,7.35779433737633,-2.34687996021684,40876,51557,17.6,43.1,28330,21227,22089,21500,42769,43997,2393,3274,136022,15.605563805854937,20.8275131963947,50.2374201876311,30.051021158342035,True,49.66898148148148,9.783796296296297,98.6,9.3,89.7,61.5,11.8,77.4,0,0,Middle Belt,Q1 (lowest),-1.1366153978790112,-1.0448134587293267,1.1875510651029795,0.008008008008008008,LL,0.7065171856437382,0.08608608608608609,NS,0.2274137041000961,0.5905905905905906,NS,-3.2150842997694795,Cold_99,0.7180387567250116,-0.7317413013350652,0.5142599941665492,0.16290761892718494,1.5220284287452224
ASUNAFO NORTH MUNICIPAL,AHAFO,Asunafo North Municipal,Ahafo,6.81509969999999,-2.67736640122449,51611,45446,26.1,42.0,39814,21534,27637,26564,46535,44897,2715,2910,151258,14.236602361527986,26.32191355167991,59.28012074547204,34.12117045048857,True,49.66898148148148,9.783796296296297,98.0,5.4,93.1,48.3,17.5,70.7,0,0,Middle Belt,Q1 (lowest),-1.2379534815517554,-0.15206907884008916,0.18825444558645676,0.43343343343343343,NS,0.34576608912082063,0.45345345345345345,NS,-0.24437460525449745,0.6096096096096096,NS,-0.825262994129947,NS,0.5259538055280295,-0.29475285309516863,0.5270934636186466,0.804043487282443,0.680914081625271
BODI,WESTERN NORTH,Bodi,Western North,6.24012575,-2.87347603617418,23327,18638,18.6,41.7,38497,24824,12137,11646,20465,19320,1051,1129,65748,37.75628155989536,58.55235140232402,59.77881110971472,35.479406217679625,True,48.8,10.8,98.6,11.1,87.9,47.8,14.0,71.1,1,0,Southern Belt,Q3,0.5031030167428858,0.39166429166097344,0.19704748668510125,0.5235235235235235,NS,0.036098333463750965,0.8838838838838838,NS,0.4400785745468719,0.07207207207207207,NS,0.9328564478320861,NS,0.623130724337607,-0.23881562497145548,0.9207766965537129,0.766806518512331,-0.21289453638777647
JUABOSO,WESTERN NORTH,Juaboso,Western North,6.3415722,-2.8235416,29440,27877,18.9,42.3,39907,30473,16061,15436,28339,26307,1322,1349,88814,34.311032044497495,44.93323124732587,57.638253486074,33.14792712860585,True,48.8,10.8,98.6,11.1,87.9,47.8,14.0,71.1,1,0,Southern Belt,Q3,0.24806662757962283,0.18465838701118942,0.045807583320158586,0.7947947947947948,NS,0.015822906119418993,0.8608608608608609,NS,0.10100412088365977,0.26926926926926925,NS,0.552224578323515,NS,0.5937709289938538,-0.19853999552099433,0.8698467168723768,0.7636924480819516,-0.06254063102097085
NKORANZA NORTH,BONO EAST,Nkoranza North,Bono East,7.7184776,-1.64389618122841,18832,16615,25.8,41.4,19620,10022,10941,10080,16455,15957,1348,1687,56468,17.748105121484734,34.745342494864346,64.85560903369122,33.34986186866898,True,49.66898148148148,9.783796296296297,99.4,15.6,84.2,44.9,24.0,57.8,0,0,Middle Belt,Q1 (lowest),-0.9780126614649471,-0.5993106455539986,0.5861333995025417,0.0920920920920921,NS,0.33445508535006985,0.37037037037037035,NS,-0.3983759502274865,0.27127127127127126,NS,-1.8542265491389327,NS,0.8307562330141229,-0.5743133100963534,0.8063688157691357,-0.02790108868625014,1.5002309530208442
KINTAMPO SOUTH,BONO EAST,Kintampo South,Bono East,7.94321545,-1.73400515142892,28927,25110,26.0,42.3,35811,16394,17639,16708,25454,24559,1961,2063,88384,18.54860608254888,40.51751448225923,68.67614420250734,32.72877443881245,True,49.66898148148148,9.783796296296297,99.4,15.6,84.2,44.9,24.0,57.8,0,0,Middle Belt,Q1 (lowest),-0.9187551610374506,-0.6107683255600368,0.5611465513064856,0.12512512512512514,NS,-0.10349404505205105,0.7587587587587588,NS,-0.6283016269497889,0.06406406406406406,NS,-1.861734320284412,NS,0.7739346221194591,-0.6043009621781924,0.7840322580254709,-0.013372457844951502,1.491699483126294
SHAMA,WESTERN,Shama,Western,5.0606463,-1.64288365568687,38185,36098,22.0,44.4,24535,35638,21733,21208,33497,35874,1980,2932,117224,30.40162424076981,20.930014331536203,61.90050597511929,32.5743874974408,True,48.8,10.8,95.2,13.7,85.3,65.4,9.7,76.9,1,0,Southern Belt,Q3,-0.04132932054352769,0.8028977159996249,-0.03318321706821476,0.8418418418418419,NS,0.004409741017309616,0.8338338338338338,NS,0.015757055016931518,0.45145145145145144,NS,1.4288606698805228,NS,0.6632897078968433,0.540470328242952,1.1131113007565472,-0.24655549722361597,-0.24842413357709164
TANO NORTH MUNICIPAL,AHAFO,Tano North Municipal,Ahafo,7.19329065,-2.2080833699397,31439,29602,21.6,42.3,22005,13235,16935,15862,27631,28903,1968,2539,93838,14.104094290159637,23.449988277670027,58.01287720663672,33.503484729001045,True,49.66898148148148,9.783796296296297,98.0,5.4,93.1,48.3,17.5,70.7,0,0,Middle Belt,Q1 (lowest),-1.2477624605257702,-0.7021955384668952,0.8761732328476712,0.024024024024024024,LL,0.40152054248754215,0.3913913913913914,NS,0.2769790813551964,0.5805805805805806,NS,-2.2090524004971894,Cold_95,0.67263359183686,-0.6530093344673156,0.5476505288285385,0.1313693798295028,1.397929397370708
WASSA EAST,WESTERN,Wassa East,Western,5.3622378,-1.62070954561049,37479,24536,38.0,42.0,31560,53204,19411,18215,29878,28067,1911,2159,99641,53.395690528999104,31.67370861392399,64.93398912762102,37.61403438343654,True,48.8,10.8,95.2,13.7,85.3,65.4,9.7,76.9,1,0,Southern Belt,Q4 (highest),1.660818408415221,0.8895327450696436,1.4773523578997882,0.002002002002002002,HH,-0.012260603603927119,0.982982982982983,NS,-0.5362540579859487,0.3983983983983984,NS,2.8271353260661476,Hot_99,0.5834814311019443,0.49076344054093096,1.0471750027839695,-0.21105679326596605,-0.24077901386131403
KETU NORTH,VOLTA,Ketu North Municipal,Volta,6.192057,0.981151401381816,38123,37133,27.2,44.3,36305,43719,20368,19369,30658,35821,2972,5805,114993,38.01883592914351,31.571486960075827,59.773763143248246,33.15245275799397,True,52.3,10.1,98.3,19.0,79.1,72.0,6.7,76.4,1,0,Middle Belt,Q3,0.5225387406266909,0.6269226403384267,0.3275913669528014,0.36036036036036034,NS,0.09577195118814934,0.7337337337337337,NS,0.032737215184879875,0.8988988988988988,NS,1.365747087731029,NS,0.4871054327889902,0.5045116495032828,0.18113129936446848,1.0518243953946902,-0.4538698063167558
MPOHOR,WESTERN,Mpohor,Western,4.9705877,-1.8927971,17795,16391,31.4,44.3,13671,25220,8995,8847,16862,15461,890,973,52028,48.47389866994696,26.276235872991467,55.19908424341799,34.202736987775815,True,48.8,10.8,95.2,13.7,85.3,65.4,9.7,76.9,1,0,Southern Belt,Q4 (highest),1.2964802034939897,0.1985626765305515,0.2574325792746407,0.3663663663663664,NS,-0.6540616299728325,0.21421421421421422,NS,-0.8823493039212266,0.0920920920920921,NS,0.951405987790712,NS,0.6297879173623075,0.4414506910797996,1.2335824215332303,-0.4778327635052794,-0.3306129334127567
WASSA AMENFI WEST,WESTERN,Wassa Amenfi West Municipal,Western,5.7735167,-2.5321498,48494,36169,24.9,42.0,39203,36463,23579,22758,43434,37508,1924,1797,131000,27.83435114503817,29.92595419847328,57.24716463640631,37.01832061068702,True,48.8,10.8,95.2,13.7,85.3,65.4,9.7,76.9,0,0,Southern Belt,Q2,-0.23137304811830012,0.10803464904160782,-0.024996306051147592,0.8588588588588588,NS,-0.09028947107422171,0.3483483483483483,NS,-0.06816320320241342,0.4794794794794795,NS,0.1594059760441634,NS,0.30044924228724157,0.10061370221463688,0.5462165523333528,0.3412188684686464,-0.6128583243857078
KETU SOUTH,VOLTA,Ketu South Municipal,Volta,6.07748514999999,1.0706219725046,74834,84471,25.6,45.4,76082,121139,47547,46270,68949,77440,4781,8135,253122,47.85794992138178,30.057442656110496,64.08746558826141,29.56439977560228,True,52.3,10.1,98.3,19.0,79.1,72.0,6.7,76.4,1,0,Middle Belt,Q4 (highest),1.2508842766847372,0.12550813356137475,0.15699615086797164,0.6506506506506506,NS,-0.12881600454857955,0.9029029029029029,NS,-0.05757586670496555,0.948948948948949,NS,0.870490162666548,NS,0.4445841637403366,0.5650255777654576,0.06743268279204687,1.2152635216838594,-0.42884441500851034
WASSA AMENFI CENTRAL,WESTERN,Wassa Amenfi Central,Western,5.7890318,-2.0839856,39525,34394,37.6,43.0,40255,55487,22543,21537,38197,32215,1827,1680,117999,47.02327985830389,34.11469588725328,62.60296540362438,33.496046576665904,True,48.8,10.8,95.2,13.7,85.3,65.4,9.7,76.9,1,0,Southern Belt,Q4 (highest),1.1890973906903635,0.20001752301103443,0.23784031470477077,0.3563563563563564,NS,0.34614027117419294,0.4094094094094094,NS,-0.15063627327602247,0.7537537537537538,NS,0.9280546889513016,NS,0.4299995160156649,0.4784660705456007,0.5718107695094428,0.34372979682019883,-0.33765107364615915
KETA MUNICIPAL,VOLTA,Keta Municipal,Volta,5.9215688,0.9910728,23209,31662,25.2,45.0,19817,21523,12367,11624,22241,25780,2378,4472,78862,27.29197839263524,25.12870584058228,49.95939276566502,29.42989018792321,True,52.3,10.1,98.3,19.0,79.1,72.0,6.7,76.4,0,0,Middle Belt,Q2,-0.27152247350394143,0.6038403677879626,-0.16395623026331732,0.5265265265265265,NS,-0.03623874577853819,0.7777777777777778,NS,-0.018951684016067893,0.8858858858858859,NS,1.1327222820549756,NS,0.42940297662118665,0.5803634613151667,0.06832983682449152,1.0424829914507374,-0.4430683649174832
KADJEBI,OTI,Kadjebi,Oti,7.7210325,0.534053201682814,27062,19482,27.2,41.5,21183,21373,14138,13277,21950,20709,1814,2071,73959,28.898443732338187,28.64154463959761,64.26545394875642,36.59054340918617,True,49.66898148148148,9.783796296296297,97.1,30.9,66.8,40.8,28.2,48.9,0,0,Northern Belt,Q2,-0.15260304031842953,0.9273433926936071,-0.14151542114425175,0.5915915915915916,NS,-0.10796298820026551,0.1781781781781782,NS,-0.07210731885537609,0.36036036036036034,NS,1.6030631710026448,NS,0.7250676290754088,-0.06860869673034059,1.2987097741314637,-0.23856633743174605,-0.4989553354384698
MFANTSEMAN MUNICIPAL,CENTRAL,Mfantsiman Municipal,Central,5.27644145,-1.03472089878279,53153,55811,24.0,44.8,39497,67043,30395,29546,44225,55585,3413,5741,168905,39.69272668067848,23.384150854030374,60.05510469892796,31.469169059530504,True,39.5,16.5,98.6,16.4,82.5,72.9,7.4,76.6,1,0,Southern Belt,Q3,0.6464493750284372,1.0544856642468068,0.6816715986287948,0.18118118118118118,NS,0.10165946556426347,0.7927927927927928,NS,-0.04972825888477588,0.9009009009009009,NS,1.916082461056659,NS,0.461911847868264,0.4842789056904589,-0.0013182694872231626,0.8582388658429105,-0.46989335878230415
SOUTH TONGU,VOLTA,South Tongu,Volta,5.96577275,0.641061228110148,33924,38903,32.4,45.2,32459,38843,20408,19879,29659,35644,2421,5103,113114,34.3396926994006,28.695828986686,61.69241841875564,29.99098254857931,True,52.3,10.1,98.3,19.0,79.1,72.0,6.7,76.4,1,0,Middle Belt,Q3,0.2501882474811348,0.6411784626644257,0.16041531589666086,0.4954954954954955,NS,0.09701170887574306,0.3033033033033033,NS,0.02441430981650285,0.7797797797797797,NS,1.6983991161367724,NS,0.5219560381870525,0.4034860906859596,0.35621803215794623,0.47453446915577996,-0.5286115560949766
EKUMFI,CENTRAL,Ekumfi,Central,5.28914455,-0.908864632637807,17067,18338,31.5,45.6,18491,33670,10736,10600,14073,16944,1575,2813,56741,59.33980719409245,32.58842812075924,68.78808395396074,30.07877901341181,True,39.5,16.5,98.6,16.4,82.5,72.9,7.4,76.6,1,0,Southern Belt,Q4 (highest),2.100834739382041,0.9381555112431212,1.970909688962268,0.009009009009009009,HH,-0.04451841369367155,0.973973973973974,NS,-0.43177394896654064,0.7007007007007007,NS,2.472008948102869,Hot_95,0.4590316960729942,0.42655265516371516,-0.18762303820947915,0.9627872856063631,-0.5404922440330449
TWIFO HEMANG LOWER DENKYIRA,CENTRAL,Twifo Heman Lower Denkyira,Central,5.49471475,-1.53636464977824,22649,19075,32.1,42.4,17101,36601,12495,11856,19039,19664,1349,1672,66075,55.3931138857359,25.881195611048053,62.91760328656694,34.27771471812334,True,39.5,16.5,98.6,16.4,82.5,72.9,7.4,76.6,1,0,Southern Belt,Q4 (highest),1.808678712365859,0.6945564366272088,1.2562294414643194,0.023023023023023025,HH,-0.0002241367690791177,0.998998998998999,NS,-0.5259507757130019,0.5065065065065065,NS,2.285348523227002,Hot_95,0.5831114192125759,0.4678942219036431,1.0077744283455712,-0.09569073487728853,-0.251248249403319
JASIKAN,OTI,Jasikan Municipal,Oti,7.40707195,0.466071316332564,22068,17426,30.2,42.2,14510,21967,10365,9836,18458,17401,1618,2017,59695,36.79872686154619,24.306893374654493,56.33453247441368,36.967920261328416,True,49.66898148148148,9.783796296296297,97.1,30.9,66.8,40.8,28.2,48.9,1,0,Northern Belt,Q3,0.4322195316420722,-0.13929887782492623,-0.060207695731755856,0.7887887887887888,NS,-0.027370136841883323,0.9029029029029029,NS,-0.10808352750124507,0.6676676676676677,NS,0.00720329474356185,NS,0.7864139376547706,0.01805402059426585,0.9384429922568466,-0.08176971583567016,-1.0725924367957684
TWIFO ATTI-MORKWA,CENTRAL,Twifo Ati Morkwa,Central,5.61529845,-1.57822136908747,31704,30813,34.1,42.7,27448,44389,19741,18593,28331,30151,1926,2109,100851,44.01443713993912,27.21638853357924,65.54837385862317,31.43647559270607,True,39.5,16.5,98.6,16.4,82.5,72.9,7.4,76.6,1,0,Southern Belt,Q4 (highest),0.9663662418947997,0.9425957361332988,0.9108926991531983,0.03203203203203203,HH,0.14478371582338728,0.6726726726726727,NS,-0.22717165248391208,0.5255255255255256,NS,2.8805468612955885,Hot_99,0.5990331506295586,0.46089087154227665,1.0125956351134544,-0.06759741960281115,-0.24270371519175396
KRACHI EAST MUNICIPAL,OTI,Krachi East Municipal,Oti,7.69817,0.22447,38222,26542,41.2,41.6,48059,50657,23489,22182,30990,30218,1707,1849,110435,45.87042151491828,43.51790646081405,74.61606325970462,34.610404310227736,True,49.66898148148148,9.783796296296297,97.1,30.9,66.8,40.8,28.2,48.9,1,0,Northern Belt,Q4 (highest),1.1037564515799339,0.781826018141027,0.862945511536209,0.05305305305305305,NS,0.9956269750995694,0.03903903903903904,HH,0.8674328877372702,0.05005005005005005,NS,2.2160139457799395,Hot_95,0.663241560001537,-0.2201245611533604,1.4544505278384192,-0.40546001251136654,-0.1992512066827234
AWUTU SENYA,CENTRAL,Awutu Senya West,Central,5.61965885,-0.520145612112832,54977,45374,22.5,44.5,40850,92561,30859,30250,45045,49125,2315,3866,161460,57.32751145794624,25.300383996036167,64.89221620473612,34.049919484702095,True,39.5,16.5,98.6,16.4,82.5,72.9,7.4,76.6,1,0,Southern Belt,Q4 (highest),1.951873499802244,1.1680139773671319,2.279815529821523,0.001001001001001001,HH,-1.4612084792762625,0.06106106106106106,NS,-1.6931683324928453,0.022022022022022022,HL,3.426466849110324,Hot_99,0.574090947721615,0.3471062020279896,0.34820084598356515,0.4895406303748059,-0.7119613039063855
NKWANTA SOUTH MUNICIPAL,OTI,Nkwanta South Municipal,Oti,8.25811615,0.509975335946734,47109,32265,42.8,41.8,60865,71074,29048,27514,36847,37565,2248,2714,135936,52.28489877589454,44.774746939736346,76.01193355910337,34.65527895480226,True,49.66898148148148,9.783796296296297,97.1,30.9,66.8,40.8,28.2,48.9,1,1,Northern Belt,Q4 (highest),1.5785914705525208,1.5809283338323858,2.4956399833426124,0.001001001001001001,HH,1.9126127246700433,0.009009009009009009,HH,1.7318716904586218,0.007007007007007007,HH,3.90943341529048,Hot_99,0.8464098201320854,-0.05434804807424774,1.9581835741281244,-0.6871935779744619,-0.34616073386356216
AWUTU SENYA EAST,CENTRAL,Awutu Senya East Municipal,Central,5.40379055,-0.518157686947431,84690,72118,10.6,42.9,24484,99262,39763,39956,72810,77543,2957,3498,236527,41.96645626080743,10.35146093257852,53.02122338762778,35.80563741137375,True,39.5,16.5,98.6,16.4,82.5,72.9,7.4,76.6,1,0,Southern Belt,Q4 (highest),0.8147633910258599,1.0037026383181449,0.8177801651776939,0.07507507507507508,NS,-0.6642675956518005,0.06506506506506507,NS,-0.7210199576561216,0.04004004004004004,HL,2.4047501572124124,Hot_95,0.50668742876531,0.3717678616647608,0.12824736561569838,0.6253561682262547,-0.6493657418471742
AFIGYA KWABRE SOUTH,ASHANTI,Afigya Kwabre South,Ashanti,6.83998064999999,-1.60957900170106,75019,72938,13.0,43.3,31504,58599,43742,42968,68528,72634,2797,3998,234667,24.97112930237315,13.424980930424816,61.42587948598065,31.968278454149925,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,0,0,Middle Belt,Q2,-0.4433245357719721,-0.3669676452619318,0.16268576097907966,0.4694694694694695,NS,0.3757529025984418,0.025025025025025027,LL,0.3696274109355067,0.03803803803803804,LL,-1.0796269248710955,NS,0.6452807589019358,-0.011158828139259365,1.1497865579721667,-0.49122122174190486,0.34087634075224793
LA-NKWANTANANG-MADINA,GREATER ACCRA,La Nkwantanang Madina Municipal,Greater Accra,5.74468145,-0.172508699400876,83831,74454,11.3,42.7,17028,77868,31134,31338,74729,76189,3177,4190,220757,35.27317367059708,7.713458689871669,41.39466465232776,37.97433376971059,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3,0.3192896623953672,0.3493831441980067,0.11155442615761346,0.6566566566566566,NS,-0.3813893062095979,0.006006006006006006,HL,-0.44019595538480455,0.001001001001001001,HL,0.8517867533379019,NS,0.5979738326021817,0.336301376070423,0.5615566345244674,0.2817379491969171,-0.7202500164934985
ATWIMA KWANWOMA,ASHANTI,Atwima Kwanwoma,Ashanti,6.65,-1.73333,74959,74937,13.8,43.3,31864,61419,42664,42286,68316,73750,3143,4687,234846,26.15288316598963,13.568040332813844,59.79615108470711,31.918363523330186,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,0,0,Middle Belt,Q2,-0.3558445907318591,-0.33773691561681696,0.12018185451270666,0.6016016016016016,NS,0.311812043790571,0.03003003003003003,LL,0.3320275333507189,0.023023023023023025,LL,-0.911026181910642,NS,0.5786482261243322,0.2177995083174028,0.9631768663454461,-0.19730541376867294,0.0449742320456886
SEKYERE SOUTH,ASHANTI,Sekyere South,Ashanti,6.99532965,-1.50292100938884,36646,41020,22.6,42.8,21298,32338,21744,20666,33678,37497,2643,3848,120076,26.93127685798994,17.737099836770046,59.58552862662452,30.519004630400747,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,0,0,Middle Belt,Q2,-0.2982235924070702,-0.139068593813032,0.041473535637922054,0.7617617617617618,NS,0.17262493656036673,0.1091091091091091,NS,0.16675784928855383,0.10710710710710711,NS,-0.47769280902384265,NS,0.7258981374218803,-0.19615621746285822,1.1112462839459398,-0.42574014391953613,0.7485268088269036
GA EAST,GREATER ACCRA,Ga East Municipal,Greater Accra,5.669162,-0.333376,110684,92554,10.1,41.8,18905,105771,39761,40380,96002,97660,4252,5324,283379,37.32492527674951,6.671277688184375,41.38189216263387,39.05864584178785,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3,0.4711716432952649,0.24887219040248365,0.11726151892243028,0.6066066066066066,NS,-0.5347845821052337,0.008008008008008008,HL,-0.6454007041628133,0.002002002002002002,HL,0.7072229866247981,NS,0.5916939286508578,0.3710398860355997,0.5134373878694026,0.3604924219641967,-0.7273231530193751
AYAWASO WEST,GREATER ACCRA,Ayawaso West Municipal,Greater Accra,5.62669775,-0.179111178909241,27690,33319,9.3,41.6,4076,26430,7177,7117,30110,27974,1327,1598,75303,35.09820325883431,5.412798958872821,24.60918669513119,36.77144336879009,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3,0.30633738656543125,0.4067079010548444,0.12458983550465302,0.5425425425425425,NS,-0.3712136268674234,0.001001001001001001,HL,-0.4042457926197293,0.0,HL,1.2054295598428761,NS,0.5713705962574591,0.3532016190266001,0.5453267230138117,0.2787682546008547,-0.7023770272557477
SEKYERE EAST,ASHANTI,Sekyere East,Ashanti,6.77947295,-1.29935419961981,23709,24423,17.3,42.5,12874,17639,13736,12921,20506,23780,1489,2357,74789,23.58501918731364,17.21376138202142,60.19283746556474,31.70118600328925,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,0,0,Middle Belt,Q2,-0.5459320587242329,-0.1182612612955735,0.06456261384641689,0.7407407407407407,NS,0.22427135376227283,0.3793793793793794,NS,0.3265455831537287,0.1931931931931932,NS,-0.4688229869861183,NS,0.727825372491842,0.0857386210082384,1.232421020865759,-0.4467377629144699,0.34082268121513043
GA SOUTH MUNICIPAL,GREATER ACCRA,Ga South Municipal,Greater Accra,5.669162,-0.333376,125103,103262,15.8,44.1,49991,179053,61267,60489,107044,111736,4181,5404,350121,51.14032006077899,14.278206677120195,55.65225340524728,35.73136144361521,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q4 (highest),1.493863435235611,1.0538425521683825,1.5742968551797236,0.002002002002002002,HH,-1.3923171294190464,0.02002002002002002,HL,-1.4209275089443612,0.018018018018018018,HL,2.989346025162126,Hot_99,0.5916939286508578,0.3710398860355997,0.5134373878694026,0.3604924219641967,-0.7273231530193751
GA WEST MUNICIPAL,GREATER ACCRA,Ga West Municipal,Greater Accra,5.669162,-0.333376,110786,92906,10.5,43.3,35609,123514,55150,55457,97011,99245,3382,4054,314299,39.29824784679557,11.329657428117812,56.358531713680094,35.248600854600234,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3,0.6172478739629289,0.6749330939513909,0.4166010173087178,0.18518518518518517,NS,-0.6320028074083783,0.006006006006006006,HL,-0.6880544353341103,0.003003003003003003,HL,1.9146551341254898,NS,0.5916939286508578,0.3710398860355997,0.5134373878694026,0.3604924219641967,-0.7273231530193751
SEKYERE CENTRAL,ASHANTI,Sekyere Central,Ashanti,7.21625465,-1.09955606489201,23803,21724,39.8,42.4,24179,38329,14277,13424,20482,20859,1731,2455,73228,52.34200032774349,33.0187906265363,67.00611983261169,32.505325831649095,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,1,0,Middle Belt,Q4 (highest),1.5828184426583405,0.49213123777231976,0.7789543993543047,0.09009009009009009,NS,0.30069411644550725,0.7067067067067067,NS,0.5252982792672755,0.4444444444444444,NS,1.6669098669671825,NS,0.8905277466630018,-0.27072644028364745,1.1908410678132126,-0.231773824074277,1.2810206986467434
GA CENTRAL MUNICIPAL,GREATER ACCRA,Ga Central Municipal,Greater Accra,5.3203951,-2.0334832,135748,95640,8.3,42.6,23248,145106,50214,50630,106324,113999,5054,6011,332232,43.67610585374076,6.997519805437165,45.7709816950568,40.85939945580197,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q4 (highest),0.9413210922801344,0.7947661104893207,0.7481301032330413,0.12012012012012012,NS,-1.1730451332146565,0.005005005005005005,HL,-1.2071738976660915,0.009009009009009009,HL,1.8570886830366389,NS,0.46509348035768194,0.4322256006439526,0.9344854604736678,-0.2677128452292306,-0.36610528083021415
OFFINSO NORTH,ASHANTI,Offinso North,Ashanti,7.27974815,-1.79832745610104,28302,22051,34.3,41.5,31198,27930,16942,16145,22483,24424,1532,1914,83440,33.47315436241611,37.38974113135187,70.53744643656597,33.918983700862896,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,1,0,Middle Belt,Q3,0.18604229591845342,-0.5594171248297328,-0.10407524627942355,0.5535535535535535,NS,-0.06972572153094371,0.25325325325325326,NS,-0.015583153174960809,0.8018018018018018,NS,-1.5606526275782588,NS,0.8084782337139443,-0.6155266014362303,0.7213353561556645,-0.09431617641782108,1.4125134751989905
KRACHI WEST,OTI,Krachi West Municipal,Oti,7.8,-0.01667,20533,17593,37.4,41.7,25155,15465,11860,11142,18268,17444,1081,1333,61128,25.29937180997252,41.15135453474676,64.40972222222221,33.590171443528334,True,49.66898148148148,9.783796296296297,97.1,30.9,66.8,40.8,28.2,48.9,0,0,Northern Belt,Q2,-0.4190262132458689,1.3976480705320207,-0.5856511784454277,0.2172172172172172,NS,-0.5727024079755556,0.014014014014014014,LH,-0.513405694609509,0.02902902902902903,LH,1.8979831333350115,NS,0.6625311661310109,-0.30260314194199167,1.5786006883554113,-0.5044170537208063,0.1418689370415499
OFFINSO MUNICIPAL,ASHANTI,Offinso Municipal,Ashanti,7.05794129999999,-1.73462655987467,42048,43960,23.5,42.8,34107,42296,26183,25081,38040,42369,2346,3253,137272,30.81181887056356,24.84629057637392,63.75405738163639,30.63115566175185,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,1,0,Middle Belt,Q3,-0.01096444950321402,-0.1217506361303184,0.0013349287018350605,0.987987987987988,NS,0.0030857138242476687,0.47647647647647645,NS,0.001926064720455598,0.7107107107107107,NS,-0.28355228886747297,NS,0.6911967012002156,-0.3829695884501346,0.9546667618760027,-0.3331059300110415,0.969883402824119
OBUASI MUNICIPAL,ASHANTI,Obuasi Municipal,Ashanti,6.211542,-1.6894045,36104,34814,11.1,42.8,12845,20504,16924,16455,33517,34084,1444,1873,104297,19.659242355964217,12.315790482947737,49.37648851348353,34.61652780041612,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,0,0,Middle Belt,Q1 (lowest),-0.8365397326396966,-0.03652392682035449,0.030553715977251192,0.8718718718718719,NS,0.18566661788207248,0.6636636636636637,NS,0.3266201380148968,0.43843843843843844,NS,-0.4428811672755193,NS,0.6765312599343377,0.5651445222522676,0.7240582174806938,0.3929717684368254,-0.1329255104884306
KRACHI NCHUMURU,OTI,Krachi Nchumuru,Oti,8.1892008,-0.0866133771431008,28802,17142,47.2,40.8,38203,47974,17598,16392,21445,21370,1324,1805,79934,60.01701403658017,47.79317937298271,79.388064930515,36.03222658693422,True,49.66898148148148,9.783796296296297,97.1,30.9,66.8,40.8,28.2,48.9,1,1,Northern Belt,Q4 (highest),2.150965328488234,1.157887117850921,2.490575044800501,0.0,HH,3.049110406787046,0.0,HH,2.8272992179657206,0.001001001001001001,HH,3.479367265754207,Hot_99,0.7472060792076984,-0.20320834749108854,1.9048848056562422,-0.7350893612522644,-0.014074847178706409
