GEO_DISTRICT,GEO_REGION,MMDA,Region,Latitude,Longitude,Employed_Pop,Unemployed_Pop,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiterate_Pop,Uninsured_Pop,Male_0_14,Female_0_14,Male_15_64,Female_15_64,Male_65plus,Female_65plus,Total_Pop,Uninsurance_Rate_pct,Illiteracy_Rate_pct,Youth_Dep_Ratio,Employment_Rate_pct,Has_Geometry,NHIS_Coverage_Women_2019_pct,No_Insurance_Women_2022_pct,ANC_Skilled_pct,Home_Delivery_pct,Facility_Delivery_pct,Female_Literate_pct,Female_No_Edu_pct,Female_SecPlus_pct,High_Uninsurance,Catastrophic_Proxy,Ecological_Zone,Uninsurance_Quartile,Uninsurance_z,Spatial_Lag_Uninsurance,LISA_Ii,LISA_p,LISA_cluster,BV_Poverty_Ii,BV_Poverty_p,BV_Poverty_cluster,BV_Illiteracy_Ii,BV_Illiteracy_p,BV_Illiteracy_cluster,Gistar_z,Gistar_cluster,GWR_local_R2,GWR_beta_intercept,GWR_beta_Poverty_Incidence,GWR_beta_Illiteracy_Rate,GWR_beta_NHIS_Coverage_Women_2019
LAMBUSSIE-KARNI,UPPER WEST,Lambussie Karni,Upper West,10.846747,-2.708741,10758,19875,44.2,46.0,25646,5836,10644,9841,13368,14326,1048,1891,51118,11.416722093978638,50.17019445205212,73.96909077778581,21.04542431237529,True,49.6,6.7,98.4,6.9,92.8,51.0,34.6,47.2,0,0,Northern Belt,Q1 (lowest),-1.4466965865414878,-1.6219131679398062,2.3464162437252085,0.002002002002002002,LL,-1.1660298184340314,0.0970970970970971,NS,-1.7882261589704636,0.007007007007007007,LH,-3.5760707565869705,Cold_99,0.4229990912610124,-2.624106193727241,-0.05174042560471765,0.9644656193136916,0.41087213888445095
BOLGATANGA MUNICIPAL,UPPER EAST,Bolgatanga Municipal,Upper East,10.7853963,-0.8487322,41187,52286,20.2,44.8,40341,12511,24732,24304,40979,46310,2139,4045,142509,8.779094653670997,28.307685830368605,56.176608736496,28.901332547418058,True,62.3,3.2,99.2,2.0,97.7,55.2,25.9,56.8,0,0,Northern Belt,Q1 (lowest),-1.641948331103831,-1.26513702930181,2.0772896338797655,0.001001001001001001,LL,-2.065068265682202,0.003003003003003003,LH,-1.0308898356311307,0.17117117117117117,NS,-3.284632162643717,Cold_99,0.43206885935735684,-0.6016817721969149,0.10553413078571261,0.4671338530509408,-0.5733484411581617
NANUMBA SOUTH,NORTHERN,Nanumba South,Northern,8.76637935,0.0549741822848612,30173,24524,46.3,42.3,58488,46239,26547,25130,24635,26996,1329,1737,106374,43.46832872694456,54.98336059563427,100.08909376149988,28.365014007182204,True,57.4,12.1,95.6,27.0,71.9,32.4,52.5,35.9,1,0,Northern Belt,Q4 (highest),0.9259402822888733,1.6231241957238545,1.5029160759784461,0.007007007007007007,HH,1.5523882793962558,0.0,HH,1.6269871286964863,0.0,HH,4.078388941609542,Hot_99,0.7135343893273101,0.2000410546826559,1.243952276362777,-0.25036040949114635,-0.37907803927170125
WENCHI MUNICIPAL,BONO,Wenchi Municipal,Bono,7.80281055,-2.08141333112632,38543,39547,23.6,42.2,42124,25271,23537,23131,35042,37424,2381,3243,124758,20.25601564629122,33.76456820404303,64.39985648442028,30.8942111928694,True,49.66898148148148,9.783796296296297,98.6,9.3,89.7,61.5,11.8,77.4,0,0,Middle Belt,Q1 (lowest),-0.7923632791103207,-1.0170792296312947,0.8058962335056515,0.06306306306306306,NS,0.3918841951932747,0.21121121121121122,NS,-0.14212927101716982,0.6836836836836837,NS,-2.636724155660465,Cold_99,0.8330846575132711,-0.8010319596845281,0.48827113968794855,0.10919579838548138,1.6568833810412538
BONGO,UPPER EAST,Bongo,Upper East,10.9166838999999,-0.805767855895511,16592,56294,54.0,48.5,51970,19822,22357,21188,30052,35165,2685,4984,116431,17.024675558914723,44.63587876081112,66.7694006164037,14.250500296312838,True,62.3,3.2,99.2,2.0,97.7,55.2,25.9,56.8,0,0,Northern Belt,Q1 (lowest),-1.0315649114913166,-1.373347972725237,1.4166975799310881,0.022022022022022022,LL,-1.0922183487945214,0.031031031031031032,LH,-0.5618247261040006,0.27627627627627627,NS,-2.940846999470949,Cold_99,0.4374577709202855,-0.5470377649035507,0.18971542922335274,0.2352093262756423,-0.5650726801428673
TANO SOUTH MUNICIPAL,AHAFO,Tano South Municipal,Ahafo,7.16093674999999,-1.99681708617696,28999,26149,23.7,42.6,24275,17791,16367,15474,24906,26294,1636,2312,86989,20.452011173826577,27.90582717355068,62.18945312500001,33.336398855027646,True,49.66898148148148,9.783796296296297,98.0,5.4,93.1,48.3,17.5,70.7,0,0,Middle Belt,Q2,-0.7778546081384903,-0.09961713646532729,0.07748764864911567,0.7307307307307307,NS,-0.09456253584923315,0.7817817817817818,NS,-0.045218362432807475,0.9169169169169169,NS,-0.5260024262728321,NS,0.7085570717962159,-0.5949065029389552,0.6956529403769898,-0.0770047963253248,1.2975036711715362
KASENA NANKANA WEST,UPPER EAST,Kasena Nankana West,Upper East,10.895598,-1.30768,15015,42880,53.6,47.4,37336,12340,16879,15961,24454,26493,2576,4372,90735,13.600044084421668,41.1483991844382,64.45914381612263,16.54818978343528,True,62.3,3.2,99.2,2.0,97.7,55.2,25.9,56.8,0,0,Northern Belt,Q1 (lowest),-1.2850750394417172,-1.2041684226323297,1.5474467832087115,0.002002002002002002,LL,-1.052485012787195,0.036036036036036036,LH,-0.9938110965290337,0.05105105105105105,NS,-3.2544268754778263,Cold_99,0.5477554972669023,-2.301783665030174,-0.2809602214656556,1.4106707797122346,0.18756693707498603
WA WEST,UPPER WEST,Wa West,Upper West,9.8985772,-2.6832633,18605,38398,61.9,48.7,54974,29934,20291,19663,23133,27784,2456,3630,96957,30.873479996287013,56.69936157265592,78.46888072745841,19.18891879905525,True,49.6,6.7,98.4,6.9,92.8,51.0,34.6,47.2,1,0,Northern Belt,Q3,-0.006399952567370002,-0.4796502178312062,0.003069738643048409,0.97997997997998,NS,-0.005907808329688636,0.06306306306306306,NS,-0.007848713627515207,0.007007007007007007,LH,-0.8676123181147972,NS,0.6436295528473435,-1.7773783806968237,-0.02967220747163927,0.9139604867745932,1.3323009946741218
SUNYANI MUNICIPAL,BONO,Sunyani Municipal,Bono,7.3384389,-2.3309226,64799,68142,10.9,41.5,28006,21645,30599,30055,62754,63470,3005,3712,193595,11.18055734910509,14.46628270358222,48.052668272277856,33.47142229912963,True,49.66898148148148,9.783796296296297,98.6,9.3,89.7,61.5,11.8,77.4,0,0,Middle Belt,Q1 (lowest),-1.4641788047410764,-1.1694863488901803,1.7123371244790297,0.012012012012012012,LL,0.6815086408711432,0.34134134134134136,NS,0.5369923312028083,0.4724724724724725,NS,-2.7683014726186292,Cold_99,0.7163662375675754,-0.7260797224003999,0.5119653388342768,0.16642950351321123,1.5156258139231902
SAWLA-TUNA-KALBA,SAVANNAH,Sawla Tuna Kalba,Savannah,9.4809443,-2.41330933679435,22712,43064,54.2,46.9,66172,48272,23714,23174,26941,33062,2349,3424,112664,42.84598452034368,58.733934530994816,78.14275952869023,20.15905701910104,True,49.66898148148148,9.783796296296297,98.12086614173228,12.606692913385826,86.50314960629919,60.54606299212598,15.77047244094488,69.8547244094488,1,0,Northern Belt,Q4 (highest),0.8798709283687013,-0.06548580764476664,-0.05761905836737501,0.7537537537537538,NS,1.4127818308872648,0.001001001001001001,HH,1.4196483082905589,0.001001001001001001,HH,0.22774245865513276,NS,0.7483255926373402,-1.7772615852897686,-0.12541453044180245,1.2314337521170242,1.0516536333258935
