GEO_DISTRICT,GEO_REGION,MMDA,Region,Latitude,Longitude,Employed_Pop,Unemployed_Pop,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiterate_Pop,Uninsured_Pop,Male_0_14,Female_0_14,Male_15_64,Female_15_64,Male_65plus,Female_65plus,Total_Pop,Uninsurance_Rate_pct,Illiteracy_Rate_pct,Youth_Dep_Ratio,Employment_Rate_pct,Has_Geometry,NHIS_Coverage_Women_2019_pct,No_Insurance_Women_2022_pct,ANC_Skilled_pct,Home_Delivery_pct,Facility_Delivery_pct,Female_Literate_pct,Female_No_Edu_pct,Female_SecPlus_pct,High_Uninsurance,Catastrophic_Proxy,Ecological_Zone,Uninsurance_Quartile
AFIGYA KWABRE NORTH,ASHANTI,Afigya Kwabre North,Ashanti,7.03891495,-1.62667127242319,21350,22931,25.2,43.7,17584,22087,15067,13982,20273,21082,1268,1658,73330,30.1200054547934,23.979271785081146,70.24301777294161,29.11495977089868,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,0,0,Middle Belt,Q2
KUMASI METROPOLITAN,ASHANTI,"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",Ashanti,6.698152,-1.621229,164504,153397,8.9,42.3,48041,100117,62261,63783,144185,155625,7216,10875,443945,22.551667436281523,10.821385531991575,42.04129281878523,37.05504060187636,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,0,0,Middle Belt,Q2
OFORIKROM MUNICIPAL,ASHANTI,Oforikrom Municipal,Ashanti,6.672717,-1.5504236985326,64286,95659,10.0,42.8,21529,49047,26682,26499,77870,75115,2874,4086,213126,23.01314715238873,10.1015361804754,34.76223159133248,30.163377532539435,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,0,0,Middle Belt,Q2
ASOKWA  MUNICIPAL,ASHANTI,Asokwa Municipal,Ashanti,6.6739843,-1.6026178,48298,38057,6.3,41.4,13484,17901,19479,19808,39593,41790,1928,3044,125642,14.247624202098024,10.732080036930329,48.27420960151383,38.44096719249933,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,0,0,Middle Belt,Q1 (lowest)
OLD TAFO MUNICIPAL,ASHANTI,Old Tafo Municipal,Ashanti,6.74083555,-1.60465968075918,42408,35138,9.2,42.9,13412,28189,18483,18339,34972,38512,1631,2431,114368,24.64762870733072,11.7270565193061,50.10886723640521,37.08030218242865,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,0,0,Middle Belt,Q2
SUAME MUNICIPAL,ASHANTI,Suame Municipal,Ashanti,6.738487,-1.62476687694823,52028,40036,8.7,42.7,14098,32285,21799,22427,41237,46222,1842,2763,136290,23.688458434221147,10.34411915767848,50.567694576887455,38.17448088634529,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,0,0,Middle Belt,Q2
JUABEN MUNICIPAL,ASHANTI,Juaben Municipal,Ashanti,6.0721368,-0.260652306105858,21253,18934,20.9,43.1,14046,19449,12078,11664,17669,19128,1456,1934,63929,30.422812807958827,21.971249354752928,64.52156425795582,33.24469333166481,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,1,0,Middle Belt,Q3
ABLEKUMA CENTRAL MUNICIPAL,GREATER ACCRA,Ablekuma Central Municipal,Greater Accra,5.5541808,-0.24078224491606,71986,49569,9.4,45.2,20160,61784,23738,23852,55723,58491,3133,4208,169145,36.52723994206155,11.918767921014512,41.66739629117271,42.558751367170174,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3
KORLE KLOTTEY MUNICIPAL,GREATER ACCRA,Korle Klottey Municipal,Greater Accra,5.55901944999999,-0.19823054970895,29874,23696,10.6,43.4,6313,23554,7480,7583,24034,25651,1594,2291,68633,34.318767939620884,9.198199117042822,30.316997081614165,43.52716623198753,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3
ABLEKUMA NORTH MUNICIPAL,GREATER ACCRA,Ablekuma North Municipal,Greater Accra,5.58719365,-0.263259064824942,69225,45302,8.3,42.9,11382,58368,22388,22293,51922,56500,2472,3633,159208,36.66147429777399,7.149138234259585,41.21027097821475,43.48085523340536,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3
AYAWASO NORTH MUNICIPAL,GREATER ACCRA,Ayawaso North Municipal,Greater Accra,5.5908829,-0.199044848506062,22947,23128,13.9,43.8,9042,21546,8488,8823,20220,22837,1335,1683,63386,33.99173319029439,14.264979648502823,40.20484474069257,36.20200044173792,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3
AYAWASO EAST MUNICIPAL,GREATER ACCRA,Ayawaso East Municipal,Greater Accra,5.5828425,-0.194266228463183,18510,19828,15.4,44.0,10085,20605,7206,7460,16935,18521,1297,1585,53004,38.87442457173044,19.02686589691344,41.3639440433213,34.921892687344354,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3
OKAIKWEI NORTH MUNICIPAL,GREATER ACCRA,Okaikoi North Municipal,Greater Accra,5.6104365,-0.2395459,63259,54414,11.1,42.4,12770,54359,21231,21542,54554,56884,2636,3599,160446,33.87993468207372,7.959064108796729,38.382777867513774,39.426972314672845,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3
GA NORTH MUNICIPAL,GREATER ACCRA,Ga North Municipal,Greater Accra,5.669162,-0.333376,87022,76640,10.5,42.3,18918,86352,35527,36103,77522,79032,3432,3676,235292,36.699930299372696,8.040222362001257,45.75418066609605,36.98468286214576,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3
