GEO_DISTRICT,GEO_REGION,MMDA,Region,Latitude,Longitude,Employed_Pop,Unemployed_Pop,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiterate_Pop,Uninsured_Pop,Male_0_14,Female_0_14,Male_15_64,Female_15_64,Male_65plus,Female_65plus,Total_Pop,Uninsurance_Rate_pct,Illiteracy_Rate_pct,Youth_Dep_Ratio,Employment_Rate_pct,Has_Geometry,NHIS_Coverage_Women_2019_pct,No_Insurance_Women_2022_pct,ANC_Skilled_pct,Home_Delivery_pct,Facility_Delivery_pct,Female_Literate_pct,Female_No_Edu_pct,Female_SecPlus_pct,High_Uninsurance,Catastrophic_Proxy,Ecological_Zone,Uninsurance_Quartile
WEIJA GBAWE MUNICIPAL,GREATER ACCRA,Weija Gbawe Municipal,Greater Accra,5.55414475,-0.296466750643799,85093,61436,8.7,42.9,16714,84797,33744,33401,68119,71627,3047,3736,213674,39.68522141205762,7.822196430075722,48.04788688048316,39.82375019890113,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3
KROWOR MUNICIPAL,GREATER ACCRA,Krowor Municipal,Greater Accra,5.60941925,-0.0769277820845922,54725,50079,12.4,42.4,10206,61701,18895,19313,49619,50062,2221,2902,143012,43.14393197773613,7.136464072944928,38.3302735726969,38.26601963471597,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q4 (highest)
TEMA METROPOLITAN,GREATER ACCRA,Tema Metropolitan Area (TMA)-Tema Central & Tema East,Greater Accra,5.6698,-0.01657,69392,55541,11.6,43.8,19800,78852,24565,24996,59728,60769,1794,2642,174494,45.188946324802,11.34709502905544,41.13048457637949,39.76755647758662,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q4 (highest)
EAST GONJA MUNICIPAL,SAVANNAH,East Gonja Municipal,Savannah,8.347473,-0.7895018232454,31564,37727,38.8,43.1,60387,34704,24863,23601,33657,32157,1679,1798,117755,29.471360027175063,51.28189885779797,73.63782781778953,26.80480658995372,True,49.66898148148148,9.783796296296297,98.12086614173228,12.606692913385826,86.50314960629919,60.54606299212598,15.77047244094488,69.8547244094488,0,0,Northern Belt,Q2
ABLEKUMA WEST MUNICIPAL,GREATER ACCRA,Ablekuma West Municipal,Greater Accra,5.5431939,-0.26615017413473,61592,46044,8.9,43.0,12511,60497,22920,22934,48489,53014,2470,3663,153490,39.41429409082025,8.151019610398071,45.17501945755298,40.12769561534954,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3
AYAWASO CENTRAL MUNICIPAL,GREATER ACCRA,Ayawaso Central Municipal,Greater Accra,5.59137939999999,-0.212668442666915,39158,30825,12.2,42.8,8646,41548,12311,12537,32353,33339,1824,2467,94831,43.81267728907214,9.117271778215985,37.82500152225538,41.292404382533135,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q4 (highest)
ACCRA METROPOLIS,GREATER ACCRA,"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",Greater Accra,5.55381875,-0.205849787615075,121103,84691,11.1,43.9,46139,105374,35341,35862,94041,106780,1895,3078,276997,38.04156723719029,16.656859099557035,35.455953311655655,43.71996808629696,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3
ANLOGA,VOLTA,Anloga,Volta,5.7936484,0.8984702,27359,36184,31.6,45.9,29252,41680,15986,15366,26025,29534,2698,5286,94895,43.92222983297329,30.8256494019706,56.43010133371731,28.830813003846355,True,52.3,10.1,98.3,19.0,79.1,72.0,6.7,76.4,1,0,Middle Belt,Q4 (highest)
SEKONDI TAKORADI METROPOLIS,WESTERN,"Sekondi Takoradi Metropolitan Area (STMA)- Takoradi, Sekondi & Essikado-Ketan",Western,4.95328,-1.73308,85174,86453,10.1,42.6,23679,49217,36872,36883,77931,82625,4541,6530,245382,20.05729841634676,9.649852067388808,45.93724308029597,34.71077748164087,True,48.8,10.8,95.2,13.7,85.3,65.4,9.7,76.9,0,0,Southern Belt,Q1 (lowest)
KWAHU SOUTH,EASTERN,Kwahu South Municipal,Eastern,8.25846,0.508747,25687,26212,28.8,43.4,18927,22821,14332,13620,21905,24447,2130,3417,79851,28.579479280159298,23.702896645001317,60.30376251294442,32.16866413695508,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
ASENE AKROSO MANSO,EASTERN,Asene Manso Akroso,Eastern,5.85516295,-0.8089562448565,26201,23526,25.7,42.5,18687,23397,14244,13527,21551,23476,2013,2687,77498,30.1904565279104,24.11288033239568,61.67632753681125,33.80861441585589,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
UPPER MANYA,EASTERN,Upper Manya Krobo,Eastern,6.40201115,-0.134429386146108,28918,16271,32.7,40.5,24935,26939,13252,12171,20360,20752,1981,2096,70612,38.15073925111879,35.31269472610888,61.838392683401445,40.953379029060216,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,1,0,Middle Belt,Q3
ACHIASE,EASTERN,Achiase,Eastern,5.8354534,-0.9966928,17382,18733,29.9,44.6,14484,17894,10513,9720,15422,17107,1477,2109,56348,31.7562291474409,25.70455029459785,62.19988318116143,30.847589976574145,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,1,0,Middle Belt,Q3
OKERE,EASTERN,Okere,Eastern,6.04034605,-0.127770489495342,18071,16536,24.0,42.4,11127,18125,8691,8377,14452,16239,1439,2477,51675,35.074987905176584,21.53265602322206,55.61239451304942,34.97048863086599,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,1,0,Middle Belt,Q3
YILO KROBO,EASTERN,Yilo Krobo Municipal,Eastern,6.1564095,-0.167401779755807,45081,36387,21.5,42.1,25873,36007,20749,20181,35736,38765,2993,3974,122398,29.417964345822647,21.138417294400234,54.938859881075416,36.831484174578016,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
ATIWA WEST,EASTERN,Atiwa West,Eastern,6.20778059999999,-0.635808682575408,22581,16870,18.9,42.5,12526,18236,11218,10550,18405,17234,1665,2147,61219,29.78813766967772,20.46096800013068,61.0791548584416,36.885607409464384,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
NEW JUABEN NORTH MUNICIPAL,EASTERN,New Juaben North Municipal,Eastern,6.1364245,-0.312846157003848,28972,34529,10.6,41.7,8759,9993,12629,12586,29655,29388,1878,2580,88716,11.264033545245503,9.87307813697642,42.70616330471013,32.65701789981514,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q1 (lowest)
FANTEAKWA NORTH,EASTERN,Fanteakwa North,Eastern,6.49761694999999,-0.362546050326661,21329,15599,28.9,41.9,16278,17663,10479,9580,16908,16701,1470,1849,56987,30.994788285047463,28.56440942671136,59.68341813204796,37.42783441837612,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,1,0,Middle Belt,Q3
BIRIM NORTH,EASTERN,Birim North,Eastern,6.3681437,-1.02271793293055,28892,24334,18.3,42.6,17609,14185,15155,14288,24286,24728,1902,2310,82669,17.158789872866492,21.30060845056793,60.070592075733465,34.949013535908264,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q1 (lowest)
ASUOGYAMAN,EASTERN,Asuogyaman,Eastern,6.36279085,0.0952598707485648,32892,35186,21.8,43.1,18900,21671,16728,16450,29528,32546,2467,3537,101256,21.40218851228569,18.66556055937426,53.449109127815184,32.48400094809196,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
KWAHU EAST,EASTERN,Kwahu East,Eastern,6.73342465,-0.81009459846416,27342,25934,29.4,42.0,19159,25110,14034,12923,24195,23179,2341,3561,80233,31.29634938242369,23.8792018246856,56.90252036982311,34.0782471053058,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,1,0,Middle Belt,Q3
KWAHU WEST,EASTERN,Kwahu West Municipal,Eastern,6.49118254999999,-0.728456087972531,51012,42241,15.1,41.9,24009,24021,26637,25539,40551,44751,3344,4607,145429,16.517338357549043,16.509086908388284,61.166209467538856,35.076910382385904,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q1 (lowest)
LOWER MANYA,EASTERN,Lower Manya Krobo Municipal,Eastern,6.2127831,-0.0404975690174626,36376,48533,19.8,43.4,24179,24965,18640,18300,35520,42445,2707,4237,121849,20.4884734384361,19.843412748565846,47.38023472070801,29.853343072163085,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
NSAWAM ADOAGYIRI,EASTERN,Nsawam Adoagyiri Municipal,Eastern,5.81791215,-0.36426765,55497,48522,13.0,43.4,24185,45530,25823,25755,47801,49554,2793,3871,155597,29.26148961740908,15.543358805118352,52.979302552514,35.66714011195589,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
AKWAPEM SOUTH,EASTERN,Akwapim South Municipal,Eastern,8.25846,0.508747,25689,27716,19.4,43.5,11667,23583,11963,11554,23466,26024,1672,2243,76922,30.658329216609037,15.167312342372794,47.51869064457466,33.39616754634565,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,1,0,Middle Belt,Q3
DENKYEMBOUR,EASTERN,Denkyembuor,Eastern,6.05,-0.8,24095,27629,18.1,42.3,15302,9980,12977,12328,23028,24760,1861,2075,77029,12.956159368549509,19.865245556868192,52.95262408972964,31.280426852224487,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q1 (lowest)
KWAEBIBIREM,EASTERN,Kwaebibirem Municipal,Eastern,6.23359759999999,-0.87590978580917,42264,37174,19.6,42.9,24805,24359,21732,20528,35226,37175,3152,3885,121698,20.01594110010025,20.38242206116781,58.36935953923288,34.72859044520041,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q1 (lowest)
KWAHU AFRAM PLAINS SOUTH,EASTERN,Kwahu Afram Plains South,Eastern,6.8854777,-0.460380290065423,28041,17113,39.1,41.6,30008,33075,15184,13664,22847,19800,1392,1115,74002,44.6947379800546,40.55025539850274,67.64367950852346,37.89221912921272,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,1,0,Middle Belt,Q4 (highest)
KWAHU AFRAM PLAINS NORTH,EASTERN,Kwahu Afram Plains North,Eastern,6.8753584,0.0047456123339843,25007,16163,48.5,41.9,28103,32016,13563,11822,20752,17918,1252,1248,66555,48.10457516339869,42.225227255653216,65.6452029997414,37.573435504469984,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,1,0,Middle Belt,Q4 (highest)
SUHUM MUNICIPAL,EASTERN,Suhum Municipal,Eastern,6.035885,-0.4552751,49088,34705,17.6,42.0,23909,36085,21768,20842,36414,40187,3044,4148,126403,28.54758194030205,18.914899171696877,55.62590566702784,38.83452133256331,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
AYENSUANO,EASTERN,Ayensuano,Eastern,5.94469995,-0.449937193103216,34538,25736,29.1,42.9,25899,43995,17710,16610,26702,27364,2749,3459,94594,46.5092923441233,27.379114954436854,63.4779713683276,36.51182950292831,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,1,0,Middle Belt,Q4 (highest)
ABUAKWA SOUTH,EASTERN,Abuakwa South Municipal,Eastern,6.1727705,-0.470361048613095,29553,31123,21.1,43.4,17315,19569,14490,13885,27170,27633,2484,3389,89051,21.97504800619869,19.44391416154788,51.776362607886426,33.186600936541986,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
UPPER WEST AKIM,EASTERN,Upper West Akim,Eastern,5.80678025,-0.540057196199224,33617,27069,29.7,43.7,27158,47183,17860,17309,26665,28405,2263,3353,95855,49.22330603515727,28.33237702780241,63.86235700018159,35.07067967242189,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,1,0,Middle Belt,Q4 (highest)
WEST AKIM,EASTERN,West Akim Municipal,Eastern,5.9070609,-0.68318054757923,40323,36708,23.7,43.0,27295,33081,20654,19996,33607,36756,2767,3901,117681,28.110740051495146,23.19405851411868,57.77184031380129,34.26466464425013,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
AKYEM MANSA,EASTERN,Akyemansa,Eastern,6.0815994,-1.11546439579942,32660,25244,23.6,42.4,25196,24107,17060,16074,25881,26687,2325,3011,91038,26.480151145675435,27.67635492871109,63.03074113529144,35.87512906698302,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
ATIWA EAST,EASTERN,Atiwa East,Eastern,6.3954833,-0.597296233359515,22465,19027,18.4,42.4,12972,11549,12055,11100,18975,18809,1641,2067,64647,17.864711432858446,20.065896329296024,61.28255346178276,34.75025909941683,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q1 (lowest)
NEW JUABEN SOUTH MUNICIPAL,EASTERN,New Juaben South Municipal,Eastern,6.0721368,-0.260652306105858,48553,45659,8.5,41.1,11820,16248,17745,17784,42075,44834,2987,4316,129741,12.523412028580015,9.1104585289153,40.88069129779425,37.42301970849616,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q1 (lowest)
BIRIM SOUTH,EASTERN,Birim South,Eastern,5.9375343,-1.0087951,11610,11912,24.9,43.6,7286,10484,6342,5790,10135,11093,943,1351,35654,29.40483536209121,20.435294777584563,57.15093273035613,32.562966287092614,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
ABUAKWA NORTH,EASTERN,Abuakwa North Municipal,Eastern,6.2336986,-0.382588987736012,25086,26833,15.7,42.9,11029,15507,12352,11924,22357,24610,2063,2889,76195,20.35172911608373,14.474703064505546,51.687354951348816,32.92342017192729,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
AKWAPEM NORTH,EASTERN,Akwapim North Municipal,Eastern,5.9014961,-0.14597334325382,30652,42982,20.1,43.2,15299,22608,16126,15555,30768,35625,2652,4589,105315,21.467027488961687,14.5268955039643,47.71737984426069,29.105065755115607,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
FANTEAKWA SOUTH,EASTERN,Fanteakwa South,Eastern,6.37117379999999,-0.311872167608319,20099,16378,21.7,41.7,9765,13448,9261,8896,16955,16368,1366,1788,54634,24.61470878939854,17.873485375407256,54.487891246286345,36.788446754768096,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q2
BIRIM CENTRAL MUNICIPAL,EASTERN,Birim Central Municipal,Eastern,5.97391735,-1.00480959493596,25276,26732,11.9,41.9,9947,9297,12418,11876,22690,26007,1366,1945,76302,12.184477471101674,13.03635553458625,49.88808345483295,33.12626143482478,True,50.0,6.7,99.2,10.8,89.2,66.7,7.8,75.5,0,0,Middle Belt,Q1 (lowest)
GUAN,Oti,Guan,Oti,7.19092,0.60951,10218,9102,28.1,42.9,4992,7735,4642,4276,8596,7785,1215,1724,28238,27.3921665840357,17.67830582902472,54.44112081069533,36.185282243784975,False,49.66898148148148,9.783796296296297,97.1,30.9,66.8,40.8,28.2,48.9,0,0,Northern Belt,Q2
