Feature,Coefficient,OR
Poverty_Incidence_pct,0.9588742218029556,2.6087579368565916
Employment_Rate_pct,0.7410000305913764,2.098032562507729
Zone_Southern,0.4864275137914517,1.6264951967251795
Youth_Dep_Ratio,0.36799171939418723,1.4448300748560279
NHIS_Coverage_Women_2019_pct,-0.36126913987537135,0.6967914388671047
ANC_Skilled_pct,-0.23723568604640002,0.7888053556919808
Female_Literate_pct,0.22073253777520652,1.2469898632746024
Home_Delivery_pct,0.003032470869545426,1.0030370734605645
Illiteracy_Rate_pct,0.0,1.0
Poverty_Intensity_pct,0.0,1.0
Female_No_Edu_pct,0.0,1.0
Female_SecPlus_pct,0.0,1.0
Zone_Middle,0.0,1.0
