GEO_DISTRICT,GEO_REGION,Uninsurance_Rate_pct,High_Uninsurance,Ecological_Zone,OOF_proba_RF,OOF_pred_RF,OOF_proba_HGB,OOF_pred_HGB,OOF_proba_LASSO,OOF_pred_LASSO,Full_proba_RF,Full_proba_HGB,Full_proba_LASSO,Full_proba_Ensemble,Full_pred_Ensemble
BIRIM NORTH,EASTERN,17.158789872866492,0,Middle Belt,0.05,0,0.027363177350774176,0,0.34864935253656265,0,0.03,0.011657962095917185,0.33570665420513435,0.020828981047958592,0
ASUOGYAMAN,EASTERN,21.40218851228569,0,Middle Belt,0.025,0,0.030619242392418058,0,0.29741020829814674,0,0.0,0.007721803328555877,0.2857242034500586,0.0038609016642779386,0
KWAHU EAST,EASTERN,31.29634938242369,1,Middle Belt,0.6,1,0.8671976424115179,1,0.44551255878561136,0,0.835,0.891274683142305,0.4791738348214392,0.8631373415711525,1
KWAHU WEST,EASTERN,16.517338357549043,0,Middle Belt,0.055,0,0.006719813885675864,0,0.30131183326442845,0,0.01,0.011743437911746979,0.29625055207944545,0.01087171895587349,0
LOWER MANYA,EASTERN,20.4884734384361,0,Middle Belt,0.19,0,0.022185108823024855,0,0.1979448839047509,0,0.08,0.012262368053410085,0.1753957967286801,0.04613118402670505,0
NSAWAM ADOAGYIRI,EASTERN,29.26148961740908,0,Middle Belt,0.09,0,0.01658932328600837,0,0.25903462219497325,0,0.055,0.01571574060183007,0.2370244434237403,0.035357870300915036,0
AKWAPEM SOUTH,EASTERN,30.65832921660904,1,Middle Belt,0.01,0,0.0017591686780592814,0,0.25873301604314436,0,0.685,0.7705162391586109,0.2423329394589676,0.7277581195793055,1
DENKYEMBOUR,EASTERN,12.956159368549509,0,Middle Belt,0.05,0,0.0020331685636375873,0,0.23152931108925154,0,0.005,0.0027356068728689492,0.2073071619400821,0.003867803436434475,0
KWAEBIBIREM,EASTERN,20.01594110010025,0,Middle Belt,0.03,0,0.005721537184270912,0,0.33424794350279924,0,0.025,0.07835505478802136,0.33995612559343824,0.051677527394010686,0
KWAHU AFRAM PLAINS SOUTH,EASTERN,44.6947379800546,1,Middle Belt,0.905,1,0.9781999685821955,1,0.6886489898720339,1,0.975,0.997902488509824,0.7976619007909339,0.986451244254912,1
KWAHU AFRAM PLAINS NORTH,EASTERN,48.10457516339869,1,Middle Belt,0.885,1,0.9988507389174461,1,0.8139746974983673,1,0.965,0.9982130890811662,0.8753518157902618,0.981606544540583,1
SUHUM MUNICIPAL,EASTERN,28.54758194030205,0,Middle Belt,0.075,0,0.030489347422873417,0,0.3709735083696002,0,0.035,0.009180869434317472,0.4059794567597045,0.022090434717158738,0
AYENSUANO,EASTERN,46.5092923441233,1,Middle Belt,0.79,1,0.9624149993722425,1,0.5897701069654404,1,0.905,0.9850079652873531,0.5923959271238582,0.9450039826436766,1
ABUAKWA SOUTH,EASTERN,21.97504800619869,0,Middle Belt,0.07,0,0.026174303026332446,0,0.340422392001031,0,0.055,0.05419931367419282,0.28361546302787466,0.05459965683709641,0
UPPER WEST AKIM,EASTERN,49.22330603515727,1,Middle Belt,0.79,1,0.9705551740390027,1,0.5655647830012973,1,0.945,0.9760667648457404,0.5625064349546901,0.9605333824228701,1
WEST AKIM,EASTERN,28.110740051495146,0,Middle Belt,0.17,0,0.058169509757475285,0,0.37622661837763316,0,0.105,0.0883667963838647,0.39084467842898657,0.09668339819193235,0
AKYEM MANSA,EASTERN,26.480151145675435,0,Middle Belt,0.445,0,0.4746121766062957,0,0.4347311281164338,0,0.185,0.07085127325157296,0.47275165648005324,0.1279256366257865,0
ATIWA EAST,EASTERN,17.864711432858446,0,Middle Belt,0.07,0,0.0183379184728028,0,0.31918165361815654,0,0.005,0.012371100479210756,0.33935456288855365,0.008685550239605377,0
NEW JUABEN SOUTH MUNICIPAL,EASTERN,12.523412028580015,0,Middle Belt,0.14,0,0.011403075114332176,0,0.22254359741819726,0,0.055,0.00840558812862447,0.16659788341241552,0.031702794064312236,0
BIRIM SOUTH,EASTERN,29.40483536209121,0,Middle Belt,0.305,0,0.06983064021601787,0,0.4011506740606308,0,0.105,0.039794996354880256,0.35824175787100465,0.07239749817744012,0
ABUAKWA NORTH,EASTERN,20.35172911608373,0,Middle Belt,0.06,0,0.008240365241399894,0,0.2516196163537853,0,0.015,0.004423340515623425,0.20637236409790352,0.009711670257811712,0
AKWAPEM NORTH,EASTERN,21.467027488961687,0,Middle Belt,0.175,0,0.004127531413317704,0,0.2475208002051311,0,0.075,0.004452035886590583,0.16679547203769302,0.03972601794329529,0
FANTEAKWA SOUTH,EASTERN,24.61470878939854,0,Middle Belt,0.07,0,0.029488463956561156,0,0.44306514015161536,0,0.025,0.038847278996845445,0.40877663374731166,0.03192363949842272,0
BIRIM CENTRAL MUNICIPAL,EASTERN,12.184477471101674,0,Middle Belt,0.055,0,0.0065623146091070604,0,0.21235236824432976,0,0.025,0.007543304766671753,0.16202258847638282,0.016271652383335878,0
GUAN,Oti,27.3921665840357,0,Northern Belt,0.455,0,0.5855629799518101,1,0.5334227784222975,1,0.2,0.06390317916151834,0.47949725066781934,0.13195158958075917,0
